symbol,stock_code
79NHIT40,NHAN22
DWARKESH,DWASUG
79NHIT47,NHAN23
PRESSMN,PREADV
INDOCO,INDREM
GMBREW,GMBREW
SUPRAJIT,SUPENG
PATELENG,PATEN
ALKEM,ALKLAB
XCHANGING,XCHSOL
SUVEN-RE,SUVRE1
UTVSOF,UTVSOF
JSWSTEEL,JSWSTE
CONSOFINVT,JINPHO
SHRIRAMCIT,SHRCIT
GNFC,GNFC
JINDALPHOT,JINPH
725IRFC35,INDN17
BCP,BCPOW
732IRFC25,INDN18
753IRFC30,INDN19
750IRFC35,INDN20
JIYAECO,JIYECO
JPPOWER,JAIPOW
VISHAL,VISFAB
GOKEX,GOKEXP
ACEINTEG,ACEIN
GODAVRFERT,GODFER
EVEREADY,EVEIND
ELDERPHARM,ELDPHA
GOYALALUM,ADVTRA
WIMCOLTD,WIMCO
SUZLONPP,SUZPP1
SAKSOFT,SAKSOF
HPIL,HINI
ALLDIGI,ALLTEC
SUKHJITS,SUKSTA
IIFL,IIFL27
GODFRYPHLP,GODPHI
SHOPERSTOP,SHOSTO
865IHF24,IBHN62
MANGALAM,MANDRU
905IH24,IBHN63
WELCORP,WELCOR
IHFL22,IBHN64
IBHF24,IBHN65
833IHF24,IBHN66
SSWL,STESW
87IHFL24A,IBHN67
88IHF25,IBHN68
93IHF25,IBHN69
894IHFL25A,IBHN70
NH,NARHRU
KENNAMET,KENIN
955IHFL27A,IBHN71
CYBERMEDIA,CYBMED
87IHFL27A,IBHN72
AMBER,AMBEN
SURYALAXMI,SURCOT
SHAHALLOYS,SHAALL
GLAND,GLAPH
JKPAPER,JKPAP
PRIMESECU,PRISEC
63MOONS,FINTEC
GRANULES,GRANUL
MERCATOR,MERLIN
JSWHL,JSWHOL
MANINDS,MANIN
CASTEXTECH,AMTIND
VHL,VARSPI
DCXINDIA,DCXSYS
GEOJITFSL,GEOBNP
RUSHI-RE1,RUSRE1
FMGOETZE,FEDGOE
IPSL,INTPER
GENUSPOWER,GENOVE
SWELECTES,SWEENE
YESBANK,YESBAN
RITEZONE,RITZON
MSPL,MSPSTE
TFL-RE,TRARE1
NECLIFE,NECLIF
FUSION,FUSMIC
SPLIL,SPLIN
AMIABLE,AMILOG
MCLEODRUSS,MCLRUS
ANZEN,ANZINV
PADMALAYAT,PADTEL
739NHAI26,NHAND8
MEDANTA,GLOHEA
IDFC,IDFC
KANSAINER,KANNER
SEMAC,REVCP
BIKAJI,BIKFOO
VIVIMEDLAB,VIVLAB
GOLDIAM,GOLINT
RML,RANMA
HTMEDIA,HTMED
SASKEN,SASCOM
ICIL,INDCOU
GOODRICKE,GOOGRO
SYNCOMF,SYNFOR
FCSSOFT,FCSSOF
OMFURN,OMFIND
ESG,MIRESG
FAZE3Q,FAZTHR
76NHAI31,NHAN10
BSCFAUG08A,BENSPL
BSCFAUG08B,BENSPB
IMPAL,INDMO
ASIL,AMISPI
AEROENTER,REGLEA
SUZLON,SUZENE
AURIONPRO,AURSOL
ACI,ARCCHE
RENUKA,RENSUG
FIVESTAR,FIVSTA
BASML,BANSPI
GOODYEAR,GOOIND
